timestamp,open,high,low,close,volume
2018-02-12,53.6300,54.6950,45.1000,47.9200,97473883
2018-01-31,48.9200,57.8600,48.7200,53.7000,204194333
2017-12-29,41.8700,49.2900,41.8500,48.8700,167824241
2017-11-30,43.1500,45.9299,40.7200,41.7800,152426632
2017-10-31,45.2300,45.8700,40.9600,42.7400,171446249
2017-09-29,38.9900,46.1800,38.8100,46.0300,190422149
2017-08-31,42.5000,42.9500,38.1810,38.9700,163124154
2017-07-31,42.9400,46.0600,41.0300,42.4400,189285071
2017-06-30,45.3000,46.2200,41.3636,42.7100,226605734
2017-05-31,45.9400,48.3223,43.7000,45.1900,216997001
2017-04-28,49.4600,51.2599,45.1000,45.8800,150495216
2017-03-31,53.9700,55.2100,47.5200,49.2100,204298241
2017-02-28,57.1800,57.3800,52.3500,53.4600,143154809
2017-01-31,54.9600,58.7800,53.9200,56.5700,181300935
2016-12-30,54.0800,56.0800,52.8900,54.0900,160392328
2016-11-30,46.3700,54.9200,45.0800,53.0900,188153018
2016-10-31,45.1100,50.2300,44.2300,46.0000,174593854
2016-09-30,43.0100,45.0800,40.1200,44.8800,174971157
2016-08-31,43.4200,46.9000,41.4839,43.0100,158086344
2016-07-29,45.2000,46.4800,42.1700,43.6600,176310992
2016-06-30,41.8000,46.6900,41.4600,45.2900,219064000
2016-05-31,41.5300,43.2000,38.2400,42.1800,228026880
2016-04-29,35.0700,41.9300,33.2600,41.3100,244483948
2016-03-31,32.5700,36.7400,32.2400,35.7200,231373266
2016-02-29,31.2900,33.4850,27.9600,32.2800,223913764
2016-01-29,33.8600,34.7300,27.6400,31.7900,278839386
2015-12-31,39.5000,40.5200,32.1300,34.0400,298603679
2015-11-30,38.2100,40.3100,36.7700,39.8500,204005234
2015-10-30,35.8700,41.2800,34.4100,38.3800,266251580
2015-09-30,38.1000,39.5200,34.3600,35.3500,255447755
2015-08-31,41.3000,43.0200,30.9301,39.3500,318622812
2015-07-31,43.2300,43.7100,39.3150,41.7900,342678442
2015-06-30,45.3500,46.6900,42.4600,43.0700,242578150
2015-05-29,48.8900,50.2000,44.7200,45.4000,241266631
2015-04-30,44.2900,49.7000,43.4900,48.9500,331458671
2015-03-31,42.5600,44.4300,39.2700,43.8800,287063825
2015-02-27,40.9200,44.9200,40.2800,42.9400,309024324
2015-01-30,39.1700,42.0500,37.2700,39.9900,387209561
2014-12-31,42.0200,42.1300,37.2100,39.3300,565595382
2014-11-28,55.5000,58.0000,41.8700,42.2000,477281438
2014-10-31,64.6300,64.8800,48.1700,55.1400,393398929
2014-09-30,68.1700,68.1800,63.0600,64.5100,160577382
2014-08-29,68.5700,70.4950,66.7700,67.6100,141509700
2014-07-31,71.2700,74.3300,68.5100,68.9900,137094500
2014-06-30,64.6900,71.2550,64.3700,71.0100,124022500
2014-05-30,63.1300,64.9350,61.2000,64.6400,117408600
2014-04-30,58.6900,65.1100,57.1300,63.0700,186083100
2014-03-31,56.2900,59.9900,54.5700,58.8900,157773000
2014-02-28,49.0700,57.4200,47.9500,57.0000,179831800
2014-01-31,50.4700,51.5000,47.6000,49.0100,187710100
2013-12-31,52.8300,52.9800,48.7100,50.7500,208875100
2013-11-29,53.1700,56.5200,52.0400,52.6800,164302100
2013-10-31,48.1100,53.9447,47.9900,53.0300,176918400
2013-09-30,48.3500,50.5000,47.4600,48.1500,159336100
2013-08-30,45.7200,49.3700,45.3400,48.0000,242418400
2013-07-31,42.0300,46.6600,41.8600,45.1900,209332900
2013-06-28,41.9300,44.4700,40.1200,41.7200,171319500
2013-05-31,42.0000,45.7500,41.6900,41.8500,226173500
2013-04-30,40.3500,42.8200,36.7700,42.7700,283427200
2013-03-28,41.1700,42.6400,38.8300,40.4100,219589500
2013-02-28,40.9900,43.9600,39.4850,41.5100,227782900
2013-01-31,35.4800,41.0600,35.0700,40.6800,258173700
2012-12-31,33.5000,35.3800,32.8200,34.6900,183319900
2012-11-30,32.3000,33.4450,29.8300,33.3500,245243500
2012-10-31,33.9300,36.0000,31.9200,32.2900,268741800
2012-09-28,32.7400,38.0000,31.0000,33.6900,275126600
2012-08-31,33.3700,35.4800,32.4100,32.7600,232243800
2012-07-31,28.4600,33.9400,27.6200,33.1300,316304300
2012-06-29,29.4200,30.3750,26.2800,28.3900,403077400
2012-05-31,34.2600,35.3200,29.1000,30.0600,298514900
2012-04-30,33.0000,35.0700,31.6201,34.2200,295846800
2012-03-30,36.8900,37.0100,32.0200,33.1900,343396600
2012-02-29,37.2700,39.1900,34.8300,36.5900,274232400
2012-01-31,33.8800,37.9500,33.6400,36.7800,388438000
2011-12-30,36.5050,37.9000,30.3200,34.5100,381350800
2011-11-30,34.7200,40.4300,31.8000,36.8000,359476800
2011-10-31,30.0600,39.6200,27.2100,37.3600,470046100
2011-09-30,44.6800,44.8400,30.4800,30.5200,376987100
2011-08-31,55.9000,56.0000,36.7900,44.3700,411452100
2011-07-29,50.9900,57.7700,50.1000,54.7300,242389800
2011-06-30,49.8800,51.3900,45.1900,51.0000,260866100
2011-05-31,50.7500,51.1800,44.4700,50.1500,236404100
2011-04-29,50.2200,51.4500,44.6000,50.4800,249231100
2011-03-31,47.5100,50.4700,42.5000,49.8400,276332300
2011-02-28,45.2600,48.8400,43.3600,46.9400,276369100
2011-01-31,41.3500,45.3900,37.6800,45.0000,305207100
2010-12-31,38.6000,41.7300,38.6000,40.8300,209178661
2010-11-30,32.1200,38.0500,30.6750,37.8700,397132300
2010-10-29,33.4800,35.8900,28.8600,31.8600,394353800
2010-09-30,28.9100,33.8401,28.6900,33.0700,222007100
2010-08-31,30.5900,31.5500,27.3600,28.2100,248970700
2010-07-30,25.1800,31.0700,24.2700,29.8800,378896200
2010-06-30,23.3000,27.7400,21.1000,24.5500,546871800
2010-05-28,29.9300,32.3700,24.3300,24.8300,522363200
2010-04-30,30.5300,35.2205,29.0600,30.6500,388375900
2010-03-31,30.4600,32.8300,29.2500,30.1300,289525000
2010-02-26,29.5700,32.1500,27.7100,30.1500,283008600
2010-01-29,30.7200,34.8700,29.0100,29.2100,322952600
2009-12-31,29.6300,30.6600,26.5500,30.0900,255171700
2009-11-30,29.3000,32.0000,28.2800,29.0900,269413000
2009-10-30,27.1200,31.9500,25.5000,29.2100,377051300
2009-09-30,23.6200,28.5800,23.2000,27.1200,258050300
2009-08-31,22.6900,25.7100,21.6900,23.7100,325319000
2009-07-31,21.0500,23.5800,18.1100,22.0900,355853600
2009-06-30,23.6500,24.7600,20.0000,20.7000,341412900
2009-05-29,20.2400,24.2400,20.1100,22.9300,307666400
2009-04-30,15.0300,20.9800,14.8200,20.2200,383122500
2009-03-31,15.8500,18.6800,14.6800,15.4700,393835200
2009-02-27,16.8900,20.5100,15.8900,16.3100,287732200
2009-01-30,18.1800,21.4700,16.1600,17.2500,361896000
2008-12-31,16.7000,18.7900,12.8000,18.1800,356515500
2008-11-28,19.2100,20.6600,13.2200,17.6000,356227500
2008-10-31,31.8400,32.0900,15.5200,19.7900,694350200
2008-09-30,42.3600,46.6200,29.0000,32.3900,445967300
2008-08-29,44.7500,46.6200,42.0500,43.9400,282900400
2008-07-31,53.0000,55.3800,43.2100,44.8200,362827900
2008-06-30,48.5800,53.9700,46.5500,53.0700,238513200
2008-05-30,45.4300,50.2900,43.7600,48.5800,242188300
2008-04-30,39.4000,48.3300,38.5600,45.9100,336911800
2008-03-31,38.4600,39.9800,35.1500,39.3300,314751000
2008-02-29,33.3300,39.3600,32.8800,38.3000,268996300
2008-01-31,38.1100,39.6700,30.0000,33.1700,355705000
2007-12-31,36.5700,38.8700,35.9400,37.9100,178627400
2007-11-30,39.0500,40.8800,34.4200,36.6100,270195600
2007-10-31,38.4000,41.9500,37.8000,39.4200,304458500
2007-09-28,34.5500,39.1700,34.4500,38.4000,216569500
2007-08-31,35.8100,37.8000,30.8100,34.5900,451723800
2007-07-31,34.5600,38.2900,33.8000,36.0200,336003200
2007-06-29,36.2500,36.7400,33.7700,34.5000,336102700
2007-05-31,31.6900,37.2000,31.0000,35.9500,448131500
2007-04-30,31.8000,33.4000,30.9900,31.7700,466820600
2007-03-30,31.0500,32.7200,29.5800,31.7400,643662300
2007-02-28,29.7100,32.3000,29.3500,30.9200,300753000
2007-01-31,30.8800,30.9000,27.6500,29.5400,433005100
2006-12-29,33.6500,33.7800,30.8000,31.0500,232198100
2006-11-30,32.1300,34.3000,30.9000,33.7400,302177200
2006-10-31,28.5400,33.0000,26.3300,32.3500,389507400
2006-09-29,32.8200,33.0900,27.3500,28.4500,313792100
2006-08-31,33.4000,34.7100,32.5700,32.6200,248086100
2006-07-31,74.9800,75.8600,29.5000,33.3600,281109350
2006-06-30,74.1800,77.6400,67.8500,74.2100,200350600
2006-05-31,78.7800,83.1500,68.3000,74.5900,175380000
2006-04-28,73.7800,83.9700,72.4000,78.1500,141165500
2006-03-31,68.3600,74.9900,64.9400,73.0200,143688200
2006-02-28,80.3000,81.6900,67.5500,68.0000,177009300
2006-01-31,63.1700,82.3900,62.7000,79.6200,178857400
2005-12-30,64.2500,68.2200,60.6200,61.9600,105292100
2005-11-30,58.8000,66.0000,55.4900,63.6500,160848700
2005-10-31,68.8800,69.3700,54.7000,59.1000,183083700
2005-09-30,62.4700,69.7800,62.0500,68.5200,137884500
2005-08-31,56.4500,62.0000,54.9400,62.0000,131313400
2005-07-29,48.2500,56.8000,45.7600,56.0500,128404700
2005-06-30,42.9200,49.3900,42.0000,47.8200,97167300
2005-05-31,41.5900,43.5000,39.6500,42.7400,93474100
2005-04-29,44.0000,46.2600,40.2500,41.5900,138671600
2005-03-31,43.7500,44.9950,40.0000,43.2500,149500200
2005-02-28,41.1400,45.2900,40.3500,43.9700,86358200
2005-01-31,38.7500,43.5800,37.1800,41.1300,141851300
2004-12-31,40.4100,41.2000,37.6600,39.2400,82740000
2004-11-30,37.1300,41.6900,35.4500,41.3500,98782300
2004-10-29,33.6900,37.9700,33.0800,37.0400,108454700
2004-09-30,29.2300,33.9800,29.0600,33.6900,82980500
2004-08-31,31.5300,31.8500,26.4500,29.1700,84772000
2004-07-30,30.0900,32.0000,29.0200,31.7500,61349000
2004-06-30,29.3500,31.3400,28.4500,30.2600,73793500
2004-05-28,29.7000,30.7100,27.3500,29.0400,72629600
2004-04-30,30.3900,32.3500,29.0600,29.8000,74209800
2004-03-31,32.0000,32.7000,27.6100,30.3900,124452800
2004-02-27,30.4900,32.1200,29.0200,31.9600,71609600
2004-01-30,26.0200,30.6800,25.8000,30.1500,92658100
2003-12-31,23.4500,27.2000,23.2200,26.0000,84352900
2003-11-28,24.2200,24.6890,22.2300,23.3500,47980500
2003-10-31,24.2500,26.7000,23.1000,23.8800,90893600
2003-09-30,24.0500,25.9000,23.6500,24.2500,67580900
2003-08-29,21.9800,24.1900,20.7500,24.1800,67073500
2003-07-31,23.0000,23.9000,20.5000,22.1700,115967900
2003-06-30,23.8000,25.3700,21.9100,23.0000,123423500
2003-05-30,21.5000,24.6700,21.1200,23.8700,82283100
2003-04-30,20.7400,21.7600,19.9800,21.4100,68499300
2003-03-31,20.4500,22.1000,18.6500,20.7300,101504100
2003-02-28,19.1100,20.8800,18.6200,20.2600,64079800
2003-01-31,19.0500,20.0000,17.2000,18.7600,85629400
2002-12-31,21.0000,40.7000,17.9000,18.7100,125475300
2002-11-29,16.1300,21.3900,15.4000,21.3700,101030400
2002-10-31,12.9100,16.4400,12.4500,16.1800,74671200
2002-09-30,14.8200,16.0000,12.0500,12.9100,45394700
2002-08-30,13.2000,15.4500,11.3000,15.2000,56784700
2002-07-31,15.8000,15.8400,8.9700,13.2000,106591100
2002-06-28,18.5000,18.7000,14.6000,15.9400,60624900
2002-05-31,16.9000,19.6300,15.4900,18.5500,101573100
2002-04-30,17.2000,18.2200,16.2600,16.9900,76581400
2002-03-28,16.6600,17.6800,15.5000,17.0700,106297500
2002-02-28,14.1400,18.0000,12.8500,16.5000,137184000
2002-01-31,13.0500,14.7800,8.6000,13.7500,327910400
2001-12-31,22.3900,22.7800,10.9400,13.1000,307928700
2001-11-30,24.8500,24.9000,19.8500,21.4300,114646500
2001-10-31,22.2500,28.9000,20.5400,24.6900,113450300
2001-09-28,28.0000,29.7000,19.3500,22.5500,79833800
2001-08-31,35.9000,36.4900,27.7600,27.8600,87304200
2001-07-31,35.2500,36.7900,29.2400,35.0100,101872100
2001-06-29,46.7400,47.9000,35.2000,35.6000,73171400
2001-05-31,43.0500,49.2500,39.8200,46.7400,68327400
2001-04-30,36.7500,43.5000,32.2000,43.2100,66207300
2001-03-30,39.9500,45.9000,35.1300,36.7500,64938400
2001-02-28,40.4000,43.7500,38.6100,39.8200,55283000
2001-01-31,36.9400,42.1900,34.8100,41.1900,63585100
2000-12-29,33.7500,39.3800,32.2500,36.2500,63953900
2000-11-30,37.5000,39.5000,33.0600,33.3800,70292600
2000-10-31,49.9400,51.0600,34.1900,37.0600,107659600
2000-09-29,52.8800,55.1900,44.9400,48.9400,52175900
2000-08-31,46.5000,54.7500,45.9400,53.0200,65007000
2000-07-31,46.7500,47.4400,41.1900,46.1100,61626300
2000-06-30,50.0600,51.1900,45.3100,47.1900,57227200
2000-05-31,44.0600,52.2500,40.1200,51.1900,66665000
2000-04-28,41.0000,46.4400,37.5000,44.1900,59604300
2000-03-31,38.1900,45.5000,35.8800,41.1300,91039600
2000-02-29,36.3100,39.7500,33.4400,38.1900,57500400
